id,year,month,region,age_group,gender,registration_count
1,2022,1,강원,20대,남성,12718
2,2022,1,강원,30대,남성,61008
3,2022,1,강원,40대,남성,114689
4,2022,1,강원,50대,남성,158866
5,2022,1,강원,60대,남성,149307
6,2022,1,강원,70대,남성,51742
7,2022,1,강원,80대,남성,11866
8,2022,1,강원,90대이상,남성,742
9,2022,1,강원,전체,법인및사업자,63038
10,2022,1,강원,20대,여성,6354
11,2022,1,강원,30대,여성,26842
12,2022,1,강원,40대,여성,47376
13,2022,1,강원,50대,여성,63047
14,2022,1,강원,60대,여성,49222
15,2022,1,강원,70대,여성,10923
16,2022,1,강원,80대,여성,2068
17,2022,1,강원,90대이상,여성,560
18,2022,1,경기,20대,남성,84194
19,2022,1,경기,30대,남성,597913
20,2022,1,경기,40대,남성,1103039
21,2022,1,경기,50대,남성,1166859
22,2022,1,경기,60대,남성,842779
23,2022,1,경기,70대,남성,241508
24,2022,1,경기,80대,남성,46984
25,2022,1,경기,90대이상,남성,4060
26,2022,1,경기,전체,법인및사업자,636655
27,2022,1,경기,20대,여성,43336
28,2022,1,경기,30대,여성,236961
29,2022,1,경기,40대,여성,399153
30,2022,1,경기,50대,여성,457505
31,2022,1,경기,60대,여성,281876
32,2022,1,경기,70대,여성,61465
33,2022,1,경기,80대,여성,12382
34,2022,1,경기,90대이상,여성,2765
35,2022,1,경남,20대,남성,21229
36,2022,1,경남,30대,남성,132238
37,2022,1,경남,40대,남성,278779
38,2022,1,경남,50대,남성,344578
39,2022,1,경남,60대,남성,291974
40,2022,1,경남,70대,남성,91910
41,2022,1,경남,80대,남성,14465
42,2022,1,경남,90대이상,남성,1094
43,2022,1,경남,전체,법인및사업자,260694
44,2022,1,경남,20대,여성,10882
45,2022,1,경남,30대,여성,55207
46,2022,1,경남,40대,여성,101291
47,2022,1,경남,50대,여성,126220
48,2022,1,경남,60대,여성,84621
49,2022,1,경남,70대,여성,16852
50,2022,1,경남,80대,여성,3357
51,2022,1,경남,90대이상,여성,789
52,2022,1,경북,20대,남성,18392
53,2022,1,경북,30대,남성,105052
54,2022,1,경북,40대,남성,215129
55,2022,1,경북,50대,남성,300534
56,2022,1,경북,60대,남성,284603
57,2022,1,경북,70대,남성,104727
58,2022,1,경북,80대,남성,19204
59,2022,1,경북,90대이상,남성,1321
60,2022,1,경북,전체,법인및사업자,121271
61,2022,1,경북,20대,여성,9820
62,2022,1,경북,30대,여성,42906
63,2022,1,경북,40대,여성,76583
64,2022,1,경북,50대,여성,102904
65,2022,1,경북,60대,여성,78339
66,2022,1,경북,70대,여성,17496
67,2022,1,경북,80대,여성,3449
68,2022,1,경북,90대이상,여성,735
69,2022,1,광주,20대,남성,11102
70,2022,1,광주,30대,남성,60249
71,2022,1,광주,40대,남성,115831
72,2022,1,광주,50대,남성,131826
73,2022,1,광주,60대,남성,90573
74,2022,1,광주,70대,남성,28915
75,2022,1,광주,80대,남성,4985
76,2022,1,광주,90대이상,남성,418
77,2022,1,광주,전체,법인및사업자,75496
78,2022,1,광주,20대,여성,7268
79,2022,1,광주,30대,여성,30882
80,2022,1,광주,40대,여성,49457
81,2022,1,광주,50대,여성,55474
82,2022,1,광주,60대,여성,31425
83,2022,1,광주,70대,여성,6741
84,2022,1,광주,80대,여성,1316
85,2022,1,광주,90대이상,여성,376
86,2022,1,대구,20대,남성,14369
87,2022,1,대구,30대,남성,95657
88,2022,1,대구,40대,남성,185306
89,2022,1,대구,50대,남성,227601
90,2022,1,대구,60대,남성,180506
91,2022,1,대구,70대,남성,60334
92,2022,1,대구,80대,남성,10816
93,2022,1,대구,90대이상,남성,875
94,2022,1,대구,전체,법인및사업자,156374
95,2022,1,대구,20대,여성,7702
96,2022,1,대구,30대,여성,38686
97,2022,1,대구,40대,여성,70144
98,2022,1,대구,50대,여성,90015
99,2022,1,대구,60대,여성,58005
100,2022,1,대구,70대,여성,13574
101,2022,1,대구,80대,여성,2419
102,2022,1,대구,90대이상,여성,493
103,2022,1,대전,20대,남성,10404
104,2022,1,대전,30대,남성,63185
105,2022,1,대전,40대,남성,110918
106,2022,1,대전,50대,남성,131740
107,2022,1,대전,60대,남성,100623
108,2022,1,대전,70대,남성,30888
109,2022,1,대전,80대,남성,5436
110,2022,1,대전,90대이상,남성,423
111,2022,1,대전,전체,법인및사업자,66129
112,2022,1,대전,20대,여성,6057
