년,월,차종별계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,합계
2022,1,승용차,2741847,1230584,1023943,1431812,587789,585692,494036,164821,5171817,637358,700520,907359,736772,880688,1126106,1482414,558454,20462012
2022,1,승합차,99859,39871,28746,45009,18841,19059,13942,4341,196619,27433,28478,39972,31422,38380,46517,51245,18243,747977
2022,1,화물자동차,326389,186459,156112,194811,92554,85953,71173,16759,828787,161547,160094,225755,188799,247715,320893,293742,83533,3641075
2022,1,특수자동차,9979,11542,4324,8353,3348,3233,3293,698,25167,4277,5289,6437,4820,8328,9215,9548,1747,119598
2022,2,승용차,2743620,1234290,1024736,1435165,588216,586354,494595,165798,5180941,638654,702002,909469,737699,883638,1127752,1485280,560777,20498986
2022,2,승합차,99542,39774,28630,44824,18804,18995,13909,4362,196116,27321,28502,39876,31351,38286,46473,51042,18201,746008
2022,2,화물자동차,326132,186958,156603,195030,92767,86107,71317,16819,830488,162136,160802,226422,189131,248406,321746,294587,84331,3649782
2022,2,특수자동차,10034,11592,4374,8391,3386,3257,3302,716,25442,4336,5323,6459,4867,8356,9296,9628,1756,120515
2022,3,승용차,2745269,1237749,1026421,1439883,589755,587738,494889,166501,5196209,640414,704117,912336,739348,885785,1130206,1490030,563641,20550291
2022,3,승합차,99081,39409,28534,44581,18708,18881,13815,4349,195432,27316,28401,39817,31251,38113,46337,50725,18102,742852
2022,3,화물자동차,325828,186553,156428,195377,92919,86099,71417,16913,832303,162603,161188,227164,189636,248886,322601,294443,85051,3655409
2022,3,특수자동차,10121,11635,4393,8426,3441,3294,3334,724,25778,4382,5371,6538,4916,8398,9401,9702,1774,121628
2022,4,승용차,2747720,1241104,1028256,1442571,590347,589526,495098,167212,5211956,641921,705817,914495,740372,891506,1132009,1494270,567311,20601491
2022,4,승합차,98687,39227,28385,44280,18508,18728,13723,4321,194741,27232,28283,39588,31054,37995,46162,50429,18081,739424
2022,4,화물자동차,325564,186386,156237,195658,92669,85987,71372,16886,835174,162668,161329,227149,189503,248766,322569,294104,85426,3657447
2022,4,특수자동차,10284,11670,4422,8458,3446,3324,3343,734,26088,4431,5415,6600,4944,8433,9454,9760,1798,122604
2022,5,승용차,2750647,1244862,1029319,1446766,591152,590881,495534,167905,5225376,643371,707372,916617,741005,894990,1133001,1499252,570429,20648479
